,date,qid,pageviews,date_object,wave
919,2024-01-02,Q458978,199,2024-01-02,Third-wave
920,2024-01-03,Q458978,171,2024-01-03,Third-wave
921,2024-01-04,Q458978,190,2024-01-04,Third-wave
922,2024-01-05,Q458978,153,2024-01-05,Third-wave
923,2024-01-06,Q458978,151,2024-01-06,Third-wave
924,2024-01-07,Q458978,164,2024-01-07,Third-wave
925,2024-01-01,Q242608,373,2024-01-01,Third-wave
926,2024-01-02,Q242608,376,2024-01-02,Third-wave
927,2024-01-03,Q242608,414,2024-01-03,Third-wave
928,2024-01-04,Q242608,415,2024-01-04,Third-wave
929,2024-01-05,Q242608,498,2024-01-05,Third-wave
930,2024-01-06,Q242608,744,2024-01-06,Third-wave
931,2024-01-07,Q242608,448,2024-01-07,Third-wave
932,2024-01-03,Q253407,108,2024-01-03,Second-wave
939,2024-01-01,Q64397,209,2024-01-01,
940,2024-01-02,Q64397,204,2024-01-02,
941,2024-01-03,Q64397,101,2024-01-03,
942,2024-01-04,Q64397,247,2024-01-04,
943,2024-01-05,Q64397,156,2024-01-05,
944,2024-01-06,Q64397,196,2024-01-06,
945,2024-01-07,Q64397,248,2024-01-07,
946,2024-01-01,Q105660,1643,2024-01-01,Third-wave
947,2024-01-02,Q105660,1629,2024-01-02,Third-wave
948,2024-01-03,Q105660,1157,2024-01-03,Third-wave
949,2024-01-04,Q105660,1381,2024-01-04,Third-wave
950,2024-01-05,Q105660,1422,2024-01-05,Third-wave
951,2024-01-06,Q105660,1641,2024-01-06,Third-wave
952,2024-01-07,Q105660,1736,2024-01-07,Third-wave
